School_Code,School_Name,School_Type,Function,Contact_Name,Address,Town,State,Zip,Phone,Fax,Grade,District,District_Code,Total_Enrollment,Percent_Students_Disabilities,Percent_Males,Percent_Females,Number_Classes,Average_Class_Size,Number_Students,Average_Salary,Total_Expenditures,Expenditures_per_Pupil,PPI
10505,Abington High,Public School,Principal,Teresa Sullivan-Cruz,201 Gliniewicz Way,Abington,MA,2351,781-982-2160,781-982-0061,"09,10,11,12",Abington,10000,452,9.7,45.6,54.4,204,15.8,451,74662,27229100.8,13270.84,63
10003,Beaver Brook Elementary School,Public School,Principal,Catherine Zinni,1 Ralph Hamlin Lane,Abington,MA,2351,781-982-2185,781-982-2187,"01,02,03,04",Abington,10000,580,13.3,50.2,49.8,325,24.6,643,74662,27229100.8,13270.84,63
10002,Center Elementary School,Public School,Principal,Lora Monachino,201 Gliniewicz Way,Abington,MA,2351,781-982-2195,781-982-0053,"PK,K",Abington,10000,203,21.2,54.2,45.8,112,14.6,208,74662,27229100.8,13270.84,63
10405,Frolio Middle School,Public School,Principal,Matthew MacCurtain,201 Gliniewicz Way,Abington,MA,2351,781-982-2170,781-982-2173,"07,08",Abington,10000,328,13.1,53.4,46.6,218,21.1,342,74662,27229100.8,13270.84,63
10015,Woodsdale Elementary School,Public School,Principal,Jonathan Hawes,128 Chestnut Street,Abington,MA,2351,781-982-2180,781-982-2184,"05,06",Abington,10000,353,10.8,50.7,49.3,121,30.4,334,74662,27229100.8,13270.84,63
30025,Acushnet Elementary School,Public School,Principal,Susan Beck,800 Middle Road,Acushnet,MA,2743,508-998-0255,508-998-0259,"PK,K,01,02,03,04",Acushnet,30000,538,14.3,53.2,46.8,237,20.1,558,64906,15201154.44,11860.15,50
30305,Albert F Ford Middle School,Public School,Principal,Michelle Silvia,708 Middle Road,Acushnet,MA,2743,508-998-0265,508-998-7316,"05,06,07,08",Acushnet,30000,417,13.7,50.8,49.2,309,16.9,426,64906,15201154.44,11860.15,50
50003,Agawam Early Childhood Center,Public School,Principal,Robin Fernandes,108 Perry Lane,Agawam,MA,1001,413-821-0598,413-821-0596,PK,Agawam,50000,151,41.1,57.6,42.4,16,11.9,191,64769,59044278.63,14363.21,54
50505,Agawam High,Public School,Principal,Thomas Schnepp,760 Cooper Street,Agawam,MA,1001,413-821-0521,413-821-0536,"09,10,11,12",Agawam,50000,1222,14.1,52,48,590,16.8,1242,64769,59044278.63,14363.21,54
50405,Agawam Junior High,Public School,Principal,Norman Robbins,1305 Springfield St,Feeding Hills,MA,1030,413-821-0561,413-786-4240,"07,08",Agawam,50000,562,14.9,47.9,52.1,847,11.8,607,64769,59044278.63,14363.21,54
50020,Benjamin J Phelps,Public School,Principal,Noelle Colbert,689 Main Street,Agawam,MA,1001,413-821-0587,413-786-0497,"K,01,02,03,04",Agawam,50000,385,13,52.7,47.3,229,16.8,361,64769,59044278.63,14363.21,54
50010,Clifford M Granger,Public School,Principal,Cheryl Salomao,31 So. Westfield Street,Feeding Hills,MA,1030,413-821-0581,413-821-0595,"K,01,02,03,04",Agawam,50000,293,19.1,50.2,49.8,159,19.8,296,64769,59044278.63,14363.21,54
50030,James Clark School,Public School,Principal,Shelley Russell,65 Oxford Street,Agawam,MA,1001,413-821-0576,413-821-0594,"K,01,02,03,04",Agawam,50000,329,17.6,53.2,46.8,182,18.2,315,64769,59044278.63,14363.21,54
50303,Roberta G. Doering School,Public School,Principal,Susan Federico,68 Main Street,Agawam,MA,1001,413-789-1400,413-789-7337,"05,06,07,08",Agawam,50000,599,15.2,53.4,46.6,348,16.8,598,64769,59044278.63,14363.21,54
50025,Robinson Park,Public School,Principal,Nicholas Bernier,65 Begley Street,Agawam,MA,1001,413-821-0584,413-786-9793,"K,01,02,03,04",Agawam,50000,377,13,51.7,48.3,229,17.7,385,64769,59044278.63,14363.21,54
70005,Amesbury Elementary,Public School,Principal,Walter Helliesen,20 South Hampton Road,Amesbury,MA,1913,978-388-3659,978-388-4961,"PK,K,01,02,03,04",Amesbury,70000,388,20.4,52.3,47.7,171,20.4,423,77147,33668081.3,13771.87,50
70505,Amesbury High,Public School,Principal,Elizabeth McAndrews,5 Highland Street,Amesbury,MA,1913,978-388-4800,978-388-3393,"09,10,11,12",Amesbury,70000,594,17,53.5,46.5,380,16.7,621,77147,33668081.3,13771.87,50
70515,Amesbury Innovation High School,Public School,Principal,Eryn Maguire,71 Friend Street,Amesbury,MA,1913,978-388-8037,978-388-8073,"09,10,11,12",Amesbury,70000,31,51.6,64.5,35.5,42,7.6,33,77147,33668081.3,13771.87,50
70013,Amesbury Middle,Public School,Principal,Michael Curry,220 Main Street,Amesbury,MA,1913,978-388-0515,978-388-1626,"05,06,07,08",Amesbury,70000,679,17.7,51.1,48.9,410,18.4,696,77147,33668081.3,13771.87,50
70010,Charles C Cashman Elementary,Public School,Principal,Mary Charette,193 Lions Mouth Road,Amesbury,MA,1913,978-388-4407,978-388-4479,"PK,K,01,02,03,04",Amesbury,70000,458,24,53.5,46.5,188,22.1,509,77147,33668081.3,13771.87,50
